,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
678,0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",24,none,own,1
679,... < 0 DM,24,existing credits paid back duly till now,radio/television,2384,... < 100 DM,... >= 7 years,4,none,real estate,64,bank,rent,0
680,no checking account,18,existing credits paid back duly till now,radio/television,1453,... < 100 DM,... < 1 year,3,none,real estate,26,none,own,0
681,no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,none,unknown / no property,56,none,own,0
682,no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,none,unknown / no property,37,none,for free,0
683,no checking account,15,delay in paying off in the past,radio/television,1478,... < 100 DM,1 <= ... < 4 years,4,none,real estate,33,bank,own,0
684,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,... < 100 DM,... < 1 year,3,none,unknown / no property,47,none,for free,0
685,0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,building society savings agreement/ life insurance,31,none,own,0
686,no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1 <= ... < 4 years,4,none,unknown / no property,34,none,for free,0
687,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,27,none,own,0
688,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,4,none,unknown / no property,30,none,for free,0
689,no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,3,co-applicant,"car or other, not in attribute Savings account/bonds",35,none,own,0
690,... < 0 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,31,none,own,0
691,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,... < 100 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,25,none,own,0
692,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,real estate,25,none,own,0
693,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= ... < 500 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",29,none,own,0
694,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,none,real estate,44,none,own,0
695,no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
696,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,50,none,rent,0
697,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1103,... < 100 DM,4 <= ... < 7 years,4,guarantor,real estate,29,none,own,0
698,no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,... < 100 DM,unemployed,1,none,building society savings agreement/ life insurance,38,none,own,0
699,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
700,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1905,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",40,none,rent,0
701,no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",29,none,rent,1
702,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,... < 100 DM,... >= 7 years,4,none,unknown / no property,46,none,for free,1
703,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,... >= 7 years,4,none,unknown / no property,47,none,for free,0
704,0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,100 <= ... < 500 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,41,stores,own,0
705,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2528,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,32,none,own,0
706,no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= ... < 1000 DM,... >= 7 years,1,none,unknown / no property,35,none,for free,0
707,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,24,none,own,1
708,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,25,none,rent,1
709,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1206,... < 100 DM,... >= 7 years,4,none,real estate,25,none,own,0
710,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2118,... < 100 DM,1 <= ... < 4 years,2,none,real estate,37,none,own,0
711,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,629,500 <= ... < 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,32,bank,own,0
712,... < 0 DM,6,all credits at this bank paid back duly,education,1198,... < 100 DM,... >= 7 years,4,none,unknown / no property,35,none,for free,1
713,no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/ no savings account,... >= 7 years,4,none,real estate,46,none,own,0
714,... < 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,... < 100 DM,1 <= ... < 4 years,4,none,real estate,25,none,own,0
715,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),14027,... < 100 DM,4 <= ... < 7 years,4,none,unknown / no property,27,none,own,1
716,no checking account,30,critical account/ other credits existing (not at this bank),car (used),7596,unknown/ no savings account,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",63,none,own,0
717,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,3077,unknown/ no savings account,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",40,none,own,0
718,no checking account,18,existing credits paid back duly till now,radio/television,1505,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,32,none,for free,0
719,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3148,unknown/ no savings account,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
720,0 <= ... < 200 DM,20,no credits taken/ all credits paid back duly,car (used),6148,100 <= ... < 500 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",31,bank,own,0
721,... >= 200 DM / salary assignments for at least 1 year,9,no credits taken/ all credits paid back duly,radio/television,1337,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,1
722,0 <= ... < 200 DM,6,all credits at this bank paid back duly,education,433,... >= 1000 DM,... < 1 year,4,none,building society savings agreement/ life insurance,24,bank,rent,1
723,... < 0 DM,12,existing credits paid back duly till now,car (new),1228,... < 100 DM,1 <= ... < 4 years,4,none,real estate,24,none,own,1
724,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,790,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,66,none,own,0
725,no checking account,27,existing credits paid back duly till now,car (new),2570,... < 100 DM,1 <= ... < 4 years,3,none,real estate,21,none,rent,1
726,no checking account,6,critical account/ other credits existing (not at this bank),car (new),250,... >= 1000 DM,1 <= ... < 4 years,2,none,real estate,41,bank,own,0
727,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1316,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,47,none,own,0
728,... < 0 DM,18,existing credits paid back duly till now,radio/television,1882,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",25,bank,rent,1
729,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,6416,... < 100 DM,... >= 7 years,4,none,unknown / no property,59,none,rent,1
730,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),business,1275,... >= 1000 DM,1 <= ... < 4 years,2,none,real estate,36,none,own,0
731,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,6403,... < 100 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",33,none,own,0
732,... < 0 DM,24,existing credits paid back duly till now,radio/television,1987,... < 100 DM,1 <= ... < 4 years,2,none,real estate,21,none,rent,1
733,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,760,... < 100 DM,4 <= ... < 7 years,4,guarantor,real estate,44,none,own,0
734,no checking account,24,existing credits paid back duly till now,car (used),2603,... >= 1000 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",28,none,rent,0
735,no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,... < 100 DM,4 <= ... < 7 years,1,none,real estate,37,none,own,0
736,0 <= ... < 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/ no savings account,... < 1 year,3,none,unknown / no property,29,bank,own,0
737,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),11560,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",23,none,rent,1
738,... < 0 DM,18,existing credits paid back duly till now,car (new),4380,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
739,no checking account,6,critical account/ other credits existing (not at this bank),car (new),6761,... < 100 DM,4 <= ... < 7 years,1,none,unknown / no property,45,none,own,0
740,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4280,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",26,none,rent,1
741,... < 0 DM,24,all credits at this bank paid back duly,car (new),2325,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",32,bank,own,0
742,0 <= ... < 200 DM,10,all credits at this bank paid back duly,radio/television,1048,... < 100 DM,1 <= ... < 4 years,4,none,real estate,23,stores,own,0
743,no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,41,none,own,0
744,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2483,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,22,stores,own,0
745,... < 0 DM,39,critical account/ other credits existing (not at this bank),furniture/equipment,14179,unknown/ no savings account,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,30,none,own,0
